o,n,h,i,e,p,gbps,time_s,total_sat
72,10,572.5,31.7,10.7,50.0,2810.0464987764635,6246.144342063926,720
56,14,587.2,34.8,11.9,50.0,2793.976358491875,6815.1116731311195,784
68,17,625.0,43.0,14.1,50.0,3558.997121266597,9240.450768042821,1156
108,12,608.5,36.0,13.2,50.0,4120.0672009056325,10210.744569175411,1296
144,11,554.9,38.3,12.3,50.0,4745.4699196557285,12153.102888800204,1584
323,10,632.0,45.6,15.6,50.0,7353.492350541879,27547.94090600591,3230
336,10,522.4,44.3,13.5,50.0,7522.666150904623,36902.790813705884,3360
324,12,545.9,45.2,15.9,50.0,8035.3793723144345,33347.898431282956,3888
72,10,573.2,32.4,10.6,50.0,2808.748376895536,6176.37293010205,720
56,14,593.1,30.0,10.6,50.0,2780.645878835691,6668.892784447409,784
68,17,626.9,38.4,13.8,50.0,3564.1196164282815,9306.825579736382,1156
108,12,607.9,35.9,13.3,50.0,4112.710913182641,10335.834383117966,1296
144,11,555.0,37.9,12.1,50.0,4738.9465065783,13131.663233509287,1584
323,10,635.0,46.4,15.4,50.0,7341.024140695957,25979.299833110534,3230
336,10,520.0,44.7,13.4,50.0,7528.137567225002,31962.401186480187,3360
324,12,546.6,46.0,16.5,50.0,8026.739823769153,35637.25473582093,3888
72,10,570.5,31.9,11.4,50.0,2810.404525800529,6215.5607322519645,720
56,14,585.0,30.0,10.5,50.0,2777.787698173504,6864.064433172345,784
68,17,633.0,42.9,14.5,50.0,3561.6095661177987,9147.167327086441,1156
108,12,605.2,36.2,13.2,50.0,4118.24716388503,9927.871614072472,1296
144,11,545.0,38.2,11.9,50.0,4750.724225021548,11732.47647895012,1584
323,10,625.7,43.3,16.5,50.0,7349.96061788843,28931.484398014843,3230
336,10,523.8,44.7,13.5,50.0,7526.763678045376,30119.91048745718,3360
324,12,547.7,44.5,16.5,50.0,8023.083176284159,37272.71955296025,3888
